month,actual,predicted,baseline,alpha,prior_pce_yoy,actual_yoy,predicted_yoy,policy_rate
2020-01-01,0.230719,0.051391,0.205485,30.000000,1.563763,1.794482,1.615153,1.750000
2020-02-01,-0.105385,-0.029171,0.230719,30.000000,1.794482,1.689097,1.765311,1.750000
2020-03-01,-0.522888,-0.297672,-0.105385,10.000000,1.689097,1.166209,1.391425,0.250000
2020-04-01,-0.703748,-0.490723,-0.522888,10.000000,1.166209,0.462461,0.675486,0.250000
2020-05-01,0.027702,-0.148841,-0.703748,10.000000,0.462461,0.490163,0.313620,0.250000
2020-06-01,0.269375,0.157237,0.027702,10.000000,0.490163,0.759538,0.647400,0.250000
2020-07-01,0.163046,0.284892,0.269375,10.000000,0.759538,0.922584,1.044430,0.250000
2020-08-01,0.234935,0.141348,0.163046,10.000000,0.922584,1.157519,1.063932,0.250000
2020-09-01,0.118835,0.096230,0.234935,10.000000,1.157519,1.276354,1.253749,0.250000
2020-10-01,-0.088868,0.170116,0.118835,10.000000,1.276354,1.187486,1.446470,0.250000
2020-11-01,-0.001221,0.099676,-0.088868,10.000000,1.187486,1.186265,1.287162,0.250000
2020-12-01,0.148257,0.189657,-0.001221,10.000000,1.186265,1.334522,1.375922,0.250000
2021-01-01,0.251276,0.231774,0.148257,10.000000,1.334522,1.585798,1.566296,0.250000
2021-02-01,0.256934,0.181422,0.251276,10.000000,1.585798,1.842732,1.767220,0.250000
2021-03-01,0.826275,0.167042,0.256934,10.000000,1.842732,2.669007,2.009774,0.250000
2021-04-01,0.971279,0.219925,0.826275,10.000000,2.669007,3.640286,2.888932,0.250000
2021-05-01,0.432178,0.520497,0.971279,30.000000,3.640286,4.072463,4.160783,0.250000
2021-06-01,0.233665,0.242312,0.432178,30.000000,4.072463,4.306128,4.314776,0.250000
2021-07-01,0.167088,0.165933,0.233665,30.000000,4.306128,4.473216,4.472062,0.250000
2021-08-01,0.107694,0.048752,0.167088,30.000000,4.473216,4.580910,4.521968,0.250000
2021-09-01,0.156519,0.069754,0.107694,30.000000,4.580910,4.737428,4.650664,0.250000
2021-10-01,0.598707,0.190149,0.156519,30.000000,4.737428,5.336136,4.927577,0.250000
2021-11-01,0.594055,0.156421,0.598707,30.000000,5.336136,5.930191,5.492557,0.250000
2021-12-01,0.211779,0.156465,0.594055,30.000000,5.930191,6.141969,6.086655,0.250000
2022-01-01,0.130464,0.216355,0.211779,30.000000,6.141969,6.272434,6.358324,0.250000
2022-02-01,0.273106,0.236876,0.130464,30.000000,6.272434,6.545540,6.509310,0.250000
2022-03-01,0.380871,0.423359,0.273106,30.000000,6.545540,6.926411,6.968899,0.500000
2022-04-01,-0.241656,0.318932,0.380871,30.000000,6.926411,6.684755,7.245343,0.500000
2022-05-01,0.109791,0.063348,-0.241656,30.000000,6.684755,6.794546,6.748104,1.000000
2022-06-01,0.448926,0.053355,0.109791,30.000000,6.794546,7.243472,6.847900,1.750000
2022-07-01,-0.493271,-0.049944,0.448926,10.000000,7.243472,6.750201,7.193527,2.500000
2022-08-01,-0.110524,-0.215910,-0.493271,30.000000,6.750201,6.639678,6.534291,2.500000
2022-09-01,0.028261,-0.188788,-0.110524,30.000000,6.639678,6.667939,6.450890,3.250000
2022-10-01,-0.206337,0.063625,0.028261,30.000000,6.667939,6.461602,6.731564,3.250000
2022-11-01,-0.431109,-0.105106,-0.206337,30.000000,6.461602,6.030493,6.356496,4.000000
2022-12-01,-0.510443,-0.198373,-0.431109,30.000000,6.030493,5.520051,5.832120,4.500000
2023-01-01,-0.012316,-0.137568,-0.510443,30.000000,5.520051,5.507735,5.382482,4.500000
2023-02-01,-0.309931,-0.038922,-0.012316,30.000000,5.507735,5.197804,5.468812,4.750000
2023-03-01,-0.769531,-0.108167,-0.309931,30.000000,5.197804,4.428273,5.089636,5.000000
2023-04-01,0.047740,-0.255366,-0.769531,30.000000,4.428273,4.476013,4.172907,5.000000
2023-05-01,-0.472551,-0.149926,0.047740,30.000000,4.476013,4.003462,4.326087,5.250000
2023-06-01,-0.718941,-0.157678,-0.472551,30.000000,4.003462,3.284521,3.845785,5.250000
2023-07-01,0.124521,-0.205357,-0.718941,30.000000,3.284521,3.409042,3.079164,5.500000
2023-08-01,0.023018,0.092374,0.124521,30.000000,3.409042,3.432060,3.501416,5.500000
2023-09-01,0.016833,0.101463,0.023018,30.000000,3.432060,3.448893,3.533522,5.500000
2023-10-01,-0.425631,-0.028470,0.016833,30.000000,3.448893,3.023262,3.420423,5.500000
2023-11-01,-0.258172,-0.154996,-0.425631,30.000000,3.023262,2.765090,2.868265,5.500000
2023-12-01,0.002176,-0.163145,-0.258172,30.000000,2.765090,2.767266,2.601945,5.500000
2024-01-01,-0.068514,-0.031259,0.002176,30.000000,2.767266,2.698751,2.736006,5.500000
2024-02-01,0.006306,0.004593,-0.068514,100.000000,2.698751,2.705057,2.703344,5.500000
2024-03-01,0.222882,0.050998,0.006306,100.000000,2.705057,2.927939,2.756055,5.500000
2024-04-01,-0.101785,0.154948,0.222882,100.000000,2.927939,2.826154,3.082887,5.500000
2024-05-01,-0.164481,-0.038976,-0.101785,100.000000,2.826154,2.661673,2.787178,5.500000
2024-06-01,-0.113299,-0.077197,-0.164481,30.000000,2.661673,2.548373,2.584476,5.500000
2024-07-01,0.046003,-0.093130,-0.113299,30.000000,2.548373,2.594377,2.455244,5.500000
2024-08-01,-0.181382,-0.115449,0.046003,100.000000,2.594377,2.412995,2.478928,5.500000
2024-09-01,-0.152229,-0.117089,-0.181382,30.000000,2.412995,2.260766,2.295906,5.000000
2024-10-01,0.216926,-0.006851,-0.152229,30.000000,2.260766,2.477693,2.253916,5.000000
2024-11-01,0.110111,0.053127,0.216926,100.000000,2.477693,2.587803,2.530819,4.750000
2024-12-01,0.140291,0.025362,0.110111,100.000000,2.587803,2.728095,2.613166,4.500000
2025-01-01,-0.120715,0.147066,0.140291,100.000000,2.728095,2.607380,2.875161,4.500000
2025-02-01,0.103105,0.053751,-0.120715,100.000000,2.607380,2.710485,2.661130,4.500000
2025-03-01,-0.351051,0.014404,0.103105,100.000000,2.710485,2.359434,2.724888,4.500000
2025-04-01,-0.082008,-0.173863,-0.351051,0.300000,2.359434,2.277426,2.185571,4.500000
2025-05-01,0.180660,-0.032755,-0.082008,0.300000,2.277426,2.458086,2.244671,4.500000
2025-06-01,0.135427,0.079565,0.180660,100.000000,2.458086,2.593513,2.537651,4.500000
2025-07-01,0.012034,0.022608,0.135427,100.000000,2.593513,2.605547,2.616121,4.500000
2025-08-01,0.142074,-0.014993,0.012034,100.000000,2.605547,2.747621,2.590555,4.500000
2025-09-01,0.039822,-0.003264,0.142074,100.000000,2.747621,2.787442,2.744356,4.250000
2025-10-01,-0.074862,-0.009866,0.039822,100.000000,2.787442,2.712581,2.777576,4.000000
2026-01-01,-0.002875,0.048593,0.057894,100.000000,2.878084,2.875208,2.926676,3.750000
2026-02-01,-0.001978,0.059489,-0.002875,100.000000,2.875208,2.873230,2.934697,3.750000
2026-03-01,0.669699,0.376751,-0.001978,100.000000,2.873230,3.542929,3.249981,3.750000
2026-04-01,0.258894,0.305510,0.669699,0.300000,3.542929,3.801823,3.848439,3.750000
2026-05-01,0.309587,0.303568,0.258894,0.300000,3.801823,4.111410,4.105391,3.750000
2026-06-01,-0.394439,-0.084043,0.309587,0.300000,4.111410,3.716971,4.027367,3.750000
2026-07-01,-0.015805,-0.072630,-0.394439,0.300000,3.716971,3.701166,3.644340,3.750000
