date,anchor_pce_yoy,predicted_change,leading_yoy
2026-08-03,3.701166,-0.122571,3.578595
2026-08-04,3.701166,-0.141465,3.559700
2026-08-05,3.701166,-0.152669,3.548497
2026-08-06,3.701166,-0.162182,3.538984
2026-08-07,3.701166,-0.162576,3.538590
2026-08-10,3.701166,-0.153852,3.547313
2026-08-11,3.701166,-0.144558,3.556608
2026-08-12,3.701166,-0.131332,3.569833
2026-08-13,3.701166,-0.125745,3.575421
2026-08-14,3.701166,-0.120492,3.580674
2026-08-17,3.701166,-0.110475,3.590691
2026-08-18,3.701166,-0.101828,3.599338
2026-08-19,3.701166,-0.092631,3.608535
2026-08-20,3.701166,-0.083378,3.617788
2026-08-21,3.701166,-0.074816,3.626350
2026-08-24,3.701166,-0.068850,3.632316
2026-08-25,3.701166,-0.064305,3.636860
2026-08-26,3.701166,-0.054655,3.646510
2026-08-27,3.701166,-0.043672,3.657494
2026-08-28,3.701166,-0.030323,3.670843
2026-08-31,3.701166,-0.021211,3.679954
