month,actual,predicted,baseline,alpha,prior_yoy,actual_yoy,predicted_yoy
2020-01-01,0.025205,0.005496,0.013727,100.000000,1.806182,1.831386,1.811678
2020-02-01,0.069474,0.002561,0.025205,100.000000,1.831386,1.900860,1.833948
2020-03-01,-0.185099,0.006309,0.069474,100.000000,1.900860,1.715761,1.907170
2020-04-01,-0.522310,-0.014993,-0.185099,100.000000,1.715761,1.193451,1.700769
2020-05-01,-0.067471,-0.125186,-0.522310,100.000000,1.193451,1.125980,1.068265
2020-06-01,-0.014541,0.007838,-0.067471,100.000000,1.125980,1.111440,1.133818
2020-07-01,0.244383,0.030069,-0.014541,100.000000,1.111440,1.355823,1.141509
2020-08-01,0.147213,0.060894,0.244383,100.000000,1.355823,1.503037,1.416717
2020-09-01,0.065618,0.047030,0.147213,100.000000,1.503037,1.568654,1.550066
2020-10-01,-0.044446,0.056516,0.065618,100.000000,1.568654,1.524208,1.625170
2020-11-01,0.030399,0.041661,-0.044446,100.000000,1.524208,1.554607,1.565869
2020-12-01,0.023318,0.068905,0.030399,100.000000,1.554607,1.577925,1.623512
2021-01-01,0.052270,0.054573,0.023318,100.000000,1.577925,1.630195,1.632498
2021-02-01,0.000455,0.054973,0.052270,100.000000,1.630195,1.630650,1.685168
2021-03-01,0.397688,0.039692,0.000455,100.000000,1.630650,2.028338,1.670342
2021-04-01,0.950046,0.098501,0.397688,100.000000,2.028338,2.978384,2.126840
2021-05-01,0.471361,0.476978,0.950046,100.000000,2.978384,3.449745,3.455362
2021-06-01,0.374014,0.195930,0.471361,100.000000,3.449745,3.823759,3.645675
2021-07-01,-0.010884,0.185055,0.374014,100.000000,3.823759,3.812875,4.008814
2021-08-01,-0.057331,0.065604,-0.010884,100.000000,3.812875,3.755544,3.878479
2021-09-01,0.037519,0.029291,-0.057331,100.000000,3.755544,3.793062,3.784834
2021-10-01,0.397480,0.052122,0.037519,100.000000,3.793062,4.190543,3.845184
2021-11-01,0.379463,0.123361,0.397480,100.000000,4.190543,4.570006,4.313904
2021-12-01,0.318883,0.134695,0.379463,100.000000,4.570006,4.888889,4.704701
2022-01-01,0.231816,0.140293,0.318883,100.000000,4.888889,5.120705,5.029182
2022-02-01,0.237041,0.115948,0.231816,100.000000,5.120705,5.357746,5.236653
2022-03-01,0.018553,0.142281,0.237041,100.000000,5.357746,5.376299,5.500028
2022-04-01,-0.236554,0.079477,0.018553,100.000000,5.376299,5.139745,5.455777
