month,actual,predicted,baseline,alpha,prior_yoy,actual_yoy,predicted_yoy
2020-01-01,0.025205,0.021667,0.013727,10.000000,1.806182,1.831386,1.827848
2020-02-01,0.069474,0.042216,0.025205,10.000000,1.831386,1.900860,1.873602
2020-03-01,-0.185099,-0.094573,0.069474,3.000000,1.900860,1.715761,1.806287
2020-04-01,-0.522310,-0.351515,-0.185099,3.000000,1.715761,1.193451,1.364247
2020-05-01,-0.067471,-0.191308,-0.522310,0.300000,1.193451,1.125980,1.002143
2020-06-01,-0.014541,-0.008730,-0.067471,0.300000,1.125980,1.111440,1.117250
2020-07-01,0.244383,0.294349,-0.014541,0.300000,1.111440,1.355823,1.405789
2020-08-01,0.147213,0.136549,0.244383,3.000000,1.355823,1.503037,1.492372
2020-09-01,0.065618,0.071394,0.147213,0.300000,1.503037,1.568654,1.574431
2020-10-01,-0.044446,-0.056415,0.065618,0.300000,1.568654,1.524208,1.512239
2020-11-01,0.030399,0.112886,-0.044446,3.000000,1.524208,1.554607,1.637094
2020-12-01,0.023318,-0.023103,0.030399,3.000000,1.554607,1.577925,1.531504
2021-01-01,0.052270,-0.046796,0.023318,3.000000,1.577925,1.630195,1.531129
2021-02-01,0.000455,-0.021447,0.052270,10.000000,1.630195,1.630650,1.608748
2021-03-01,0.397688,0.296819,0.000455,10.000000,1.630650,2.028338,1.927469
2021-04-01,0.950046,0.827571,0.397688,3.000000,2.028338,2.978384,2.855910
2021-05-01,0.471361,0.465450,0.950046,0.300000,2.978384,3.449745,3.443834
2021-06-01,0.374014,0.413005,0.471361,1.000000,3.449745,3.823759,3.862750
2021-07-01,-0.010884,-0.107277,0.374014,1.000000,3.823759,3.812875,3.716481
2021-08-01,-0.057331,-0.097845,-0.010884,1.000000,3.812875,3.755544,3.715030
2021-09-01,0.037519,0.112325,-0.057331,3.000000,3.755544,3.793062,3.867869
2021-10-01,0.397480,0.321661,0.037519,3.000000,3.793062,4.190543,4.114723
2021-11-01,0.379463,0.223350,0.397480,1.000000,4.190543,4.570006,4.413893
2021-12-01,0.318883,0.144099,0.379463,1.000000,4.570006,4.888889,4.714105
2022-01-01,0.231816,0.241051,0.318883,3.000000,4.888889,5.120705,5.129940
2022-02-01,0.237041,0.298763,0.231816,1.000000,5.120705,5.357746,5.419468
2022-03-01,0.018553,0.076536,0.237041,1.000000,5.357746,5.376299,5.434282
2022-04-01,-0.236554,-0.138361,0.018553,1.000000,5.376299,5.139745,5.237938
2022-05-01,-0.121206,-0.112968,-0.236554,1.000000,5.139745,5.018539,5.026777
2022-06-01,0.016698,-0.148670,-0.121206,1.000000,5.018539,5.035237,4.869869
2022-07-01,-0.140128,-0.165527,0.016698,1.000000,5.035237,4.895109,4.869710
2022-08-01,0.235608,0.098660,-0.140128,1.000000,4.895109,5.130717,4.993769
2022-09-01,0.223306,0.190418,0.235608,1.000000,5.130717,5.354023,5.321135
2022-10-01,-0.183231,-0.216903,0.223306,1.000000,5.354023,5.170792,5.137120
2022-11-01,-0.250089,-0.222437,-0.183231,1.000000,5.170792,4.920704,4.948355
2022-12-01,-0.219400,-0.198822,-0.250089,1.000000,4.920704,4.701304,4.721882
2023-01-01,-0.071404,-0.059551,-0.219400,1.000000,4.701304,4.629900,4.641753
2023-02-01,-0.048168,-0.018132,-0.071404,1.000000,4.629900,4.581732,4.611768
2023-03-01,-0.057238,0.041760,-0.048168,1.000000,4.581732,4.524493,4.623492
2023-04-01,-0.029933,0.005618,-0.057238,1.000000,4.524493,4.494560,4.530111
2023-05-01,-0.107499,-0.013604,-0.029933,3.000000,4.494560,4.387062,4.480956
2023-06-01,-0.320176,-0.337516,-0.107499,1.000000,4.387062,4.066886,4.049545
2023-07-01,-0.086792,-0.017463,-0.320176,10.000000,4.066886,3.980094,4.049423
2023-08-01,-0.326424,-0.239163,-0.086792,1.000000,3.980094,3.653670,3.740931
2023-09-01,-0.150179,-0.193799,-0.326424,1.000000,3.653670,3.503492,3.459872
2023-10-01,-0.142892,-0.132069,-0.150179,1.000000,3.503492,3.360600,3.371423
2023-11-01,-0.107792,-0.014167,-0.142892,1.000000,3.360600,3.252808,3.346433
2023-12-01,-0.110155,-0.061694,-0.107792,1.000000,3.252808,3.142653,3.191114
