month,actual,predicted,baseline,alpha,prior_yoy,actual_yoy,predicted_yoy
2020-01-01,0.025205,0.004509,0.013727,100.000000,1.806182,1.831386,1.810691
2020-02-01,0.069474,0.002036,0.025205,100.000000,1.831386,1.900860,1.833422
2020-03-01,-0.185099,0.011904,0.069474,30.000000,1.900860,1.715761,1.912764
2020-04-01,-0.522310,-0.019692,-0.185099,100.000000,1.715761,1.193451,1.696069
2020-05-01,-0.067471,-0.033061,-0.522310,30.000000,1.193451,1.125980,1.160390
2020-06-01,-0.014541,0.025790,-0.067471,10.000000,1.125980,1.111440,1.151770
2020-07-01,0.244383,0.057235,-0.014541,10.000000,1.111440,1.355823,1.168674
2020-08-01,0.147213,0.061568,0.244383,3.000000,1.355823,1.503037,1.417392
2020-09-01,0.065618,0.058613,0.147213,1.000000,1.503037,1.568654,1.561650
2020-10-01,-0.044446,0.085241,0.065618,0.300000,1.568654,1.524208,1.653896
2020-11-01,0.030399,0.078213,-0.044446,3.000000,1.524208,1.554607,1.602422
2020-12-01,0.023318,0.113130,0.030399,3.000000,1.554607,1.577925,1.667737
2021-01-01,0.052270,0.058574,0.023318,100.000000,1.577925,1.630195,1.636499
2021-02-01,0.000455,0.058397,0.052270,100.000000,1.630195,1.630650,1.688592
2021-03-01,0.397688,0.041504,0.000455,100.000000,1.630650,2.028338,1.672154
2021-04-01,0.950046,0.050028,0.397688,100.000000,2.028338,2.978384,2.078367
2021-05-01,0.471361,0.104340,0.950046,100.000000,2.978384,3.449745,3.082724
2021-06-01,0.374014,0.132812,0.471361,0.300000,3.449745,3.823759,3.582558
2021-07-01,-0.010884,0.136580,0.374014,0.300000,3.823759,3.812875,3.960338
2021-08-01,-0.057331,0.108955,-0.010884,0.300000,3.812875,3.755544,3.921830
2021-09-01,0.037519,0.138430,-0.057331,0.300000,3.755544,3.793062,3.893974
2021-10-01,0.397480,0.073246,0.037519,100.000000,3.793062,4.190543,3.866308
2021-11-01,0.379463,0.006309,0.397480,100.000000,4.190543,4.570006,4.196852
2021-12-01,0.318883,0.004843,0.379463,0.300000,4.570006,4.888889,4.574849
2022-01-01,0.231816,-0.076817,0.318883,0.300000,4.888889,5.120705,4.812072
2022-02-01,0.237041,0.061741,0.231816,100.000000,5.120705,5.357746,5.182446
2022-03-01,0.018553,0.093829,0.237041,100.000000,5.357746,5.376299,5.451576
2022-04-01,-0.236554,0.096466,0.018553,100.000000,5.376299,5.139745,5.472766
2022-05-01,-0.121206,-0.005338,-0.236554,100.000000,5.139745,5.018539,5.134407
2022-06-01,0.016698,-0.057977,-0.121206,100.000000,5.018539,5.035237,4.960562
2022-07-01,-0.140128,-0.167968,0.016698,100.000000,5.035237,4.895109,4.867269
2022-08-01,0.235608,-0.036105,-0.140128,100.000000,4.895109,5.130717,4.859004
2022-09-01,0.223306,-0.052279,0.235608,100.000000,5.130717,5.354023,5.078438
