month,actual,predicted,baseline,alpha,prior_yoy,actual_yoy,predicted_yoy
2020-01-01,0.263725,0.049324,0.212160,10.000000,1.842454,2.106179,1.891778
2020-02-01,-0.224177,-0.037854,0.263725,10.000000,2.106179,1.882001,2.068325
2020-03-01,-0.646043,-0.352943,-0.224177,10.000000,1.882001,1.235958,1.529058
2020-04-01,-0.948126,-0.586105,-0.646043,10.000000,1.235958,0.287832,0.649853
2020-05-01,0.013740,-0.160687,-0.948126,10.000000,0.287832,0.301573,0.127145
2020-06-01,0.353848,0.203791,0.013740,10.000000,0.301573,0.655421,0.505363
2020-07-01,0.216182,0.343574,0.353848,10.000000,0.655421,0.871603,0.998995
2020-08-01,0.217349,0.172756,0.216182,10.000000,0.871603,1.088952,1.044358
2020-09-01,0.159320,0.111672,0.217349,10.000000,1.088952,1.248272,1.200624
2020-10-01,-0.090353,0.201451,0.159320,10.000000,1.248272,1.157919,1.449723
2020-11-01,0.006759,0.120585,-0.090353,10.000000,1.157919,1.164678,1.278504
2020-12-01,0.126516,0.242525,0.006759,10.000000,1.164678,1.291195,1.407203
2021-01-01,0.217920,0.277005,0.126516,10.000000,1.291195,1.509115,1.568200
2021-02-01,0.357501,0.216615,0.217920,10.000000,1.509115,1.866616,1.725730
2021-03-01,0.867435,0.200494,0.357501,10.000000,1.866616,2.734050,2.067110
2021-04-01,1.235919,0.256273,0.867435,10.000000,2.734050,3.969969,2.990324
2021-05-01,0.551708,0.678792,1.235919,10.000000,3.969969,4.521677,4.648761
2021-06-01,0.300949,0.310038,0.551708,30.000000,4.521677,4.822626,4.831715
2021-07-01,0.098473,0.207104,0.300949,30.000000,4.822626,4.921099,5.029730
2021-08-01,0.093107,0.053518,0.098473,30.000000,4.921099,5.014206,4.974617
2021-09-01,0.160486,0.075025,0.093107,30.000000,5.014206,5.174692,5.089231
2021-10-01,0.608989,0.228292,0.160486,30.000000,5.174692,5.783681,5.402983
2021-11-01,0.631165,0.196777,0.608989,30.000000,5.783681,6.414846,5.980458
2021-12-01,0.216106,0.185831,0.631165,30.000000,6.414846,6.630953,6.600677
2022-01-01,0.200901,0.273735,0.216106,30.000000,6.630953,6.831853,6.904687
2022-02-01,0.294528,0.285430,0.200901,30.000000,6.831853,7.126381,7.117283
2022-03-01,0.535396,0.495187,0.294528,30.000000,7.126381,7.661778,7.621568
2022-04-01,-0.288620,0.379529,0.535396,30.000000,7.661778,7.373158,8.041307
2022-05-01,0.147778,0.052098,-0.288620,30.000000,7.373158,7.520936,7.425256
2022-06-01,0.379808,0.066543,0.147778,30.000000,7.520936,7.900744,7.587479
2022-07-01,-0.571814,-0.087506,0.379808,30.000000,7.900744,7.328930,7.813238
2022-08-01,-0.256771,-0.250042,-0.571814,30.000000,7.328930,7.072160,7.078888
2022-09-01,-0.021474,-0.231358,-0.256771,30.000000,7.072160,7.050686,6.840801
2022-10-01,-0.291789,0.097405,-0.021474,10.000000,7.050686,6.758897,7.148091
