month,actual,predicted,baseline,alpha,prior_yoy,actual_yoy,predicted_yoy
2020-01-01,0.258773,0.198206,0.209985,10.000000,1.766877,2.025650,1.965083
2020-02-01,-0.208871,-0.100259,0.258773,10.000000,2.025650,1.816779,1.925391
2020-03-01,-0.613604,-0.426738,-0.208871,10.000000,1.816779,1.203175,1.390041
2020-04-01,-0.900402,-0.780305,-0.613604,10.000000,1.203175,0.302774,0.422871
2020-05-01,0.027995,-0.007481,-0.900402,10.000000,0.302774,0.330769,0.295292
2020-06-01,0.328940,0.375704,0.027995,10.000000,0.330769,0.659709,0.706473
2020-07-01,0.204466,0.233036,0.328940,10.000000,0.659709,0.864175,0.892745
2020-08-01,0.212422,0.173042,0.204466,10.000000,0.864175,1.076597,1.037216
2020-09-01,0.160208,0.099959,0.212422,10.000000,1.076597,1.236805,1.176556
2020-10-01,-0.083176,-0.000362,0.160208,10.000000,1.236805,1.153629,1.236443
2020-11-01,0.012101,0.105880,-0.083176,3.000000,1.153629,1.165730,1.259508
2020-12-01,0.126875,0.132816,0.012101,10.000000,1.165730,1.292605,1.298546
2021-01-01,0.237706,0.157240,0.126875,3.000000,1.292605,1.530310,1.449845
2021-02-01,0.353597,0.250653,0.237706,3.000000,1.530310,1.883907,1.780964
2021-03-01,0.850262,0.711035,0.353597,10.000000,1.883907,2.734169,2.594942
2021-04-01,1.186521,0.870965,0.850262,3.000000,2.734169,3.920690,3.605135
2021-05-01,0.516408,0.423385,1.186521,1.000000,3.920690,4.437098,4.344074
2021-06-01,0.286578,0.297766,0.516408,3.000000,4.437098,4.723675,4.734864
2021-07-01,0.120228,0.060393,0.286578,3.000000,4.723675,4.843903,4.784068
2021-08-01,0.113192,0.008742,0.120228,3.000000,4.843903,4.957096,4.852645
2021-09-01,0.156217,0.173826,0.113192,3.000000,4.957096,5.113313,5.130921
2021-10-01,0.580478,0.571580,0.156217,3.000000,5.113313,5.693791,5.684893
2021-11-01,0.623878,0.427035,0.580478,3.000000,5.693791,6.317668,6.120826
2021-12-01,0.210047,-0.037246,0.623878,3.000000,6.317668,6.527715,6.280423
2022-01-01,0.175500,0.158127,0.210047,3.000000,6.527715,6.703216,6.685842
2022-02-01,0.283991,0.355513,0.175500,3.000000,6.703216,6.987207,7.058729
2022-03-01,0.509991,0.526162,0.283991,3.000000,6.987207,7.497198,7.513369
2022-04-01,-0.278740,-0.187980,0.509991,3.000000,7.497198,7.218458,7.309218
2022-05-01,0.128115,0.076099,-0.278740,3.000000,7.218458,7.346574,7.294558
2022-06-01,0.380582,0.238830,0.128115,3.000000,7.346574,7.727156,7.585403
2022-07-01,-0.569463,-0.427432,0.380582,3.000000,7.727156,7.157693,7.299723
2022-08-01,-0.243823,-0.406267,-0.569463,1.000000,7.157693,6.913870,6.751426
2022-09-01,-0.015600,-0.095564,-0.243823,3.000000,6.913870,6.898269,6.818306
2022-10-01,-0.269094,-0.261324,-0.015600,1.000000,6.898269,6.629176,6.636945
2022-11-01,-0.499489,-0.501432,-0.269094,1.000000,6.629176,6.129686,6.127743
2022-12-01,-0.584177,-0.561121,-0.499489,1.000000,6.129686,5.545510,5.568565
2023-01-01,-0.101602,-0.033407,-0.584177,1.000000,5.545510,5.443908,5.512102
