month,actual,predicted,nowcast_weight,prior_yoy,actual_yoy,predicted_yoy
2022-01-01,0.1755,0.135528,1.0,6.527715,6.703215,6.663243
2022-02-01,0.283991,0.307591,1.0,6.703216,6.987207000000001,7.010807000000001
2022-03-01,0.509991,0.4793,1.0,6.987207,7.497198,7.466507
2022-04-01,-0.27874,-0.16193700000000005,1.0,7.497198,7.218458,7.335261
2022-05-01,0.128115,0.11310399999999998,1.0,7.218458,7.346573,7.331562
2022-06-01,0.380582,0.222984,1.0,7.346574,7.727156000000001,7.569558000000001
2022-07-01,-0.569463,-0.35061,1.0,7.727156,7.157693,7.376546
2022-08-01,-0.243823,-0.264554,1.0,7.157693,6.91387,6.893139
2022-09-01,-0.0156,-0.11014200000000002,1.0,6.91387,6.89827,6.803728
2022-10-01,-0.269094,-0.22792900000000002,1.0,6.898269,6.629175,6.67034
2022-11-01,-0.499489,-0.41459,1.0,6.629176,6.1296870000000006,6.214586000000001
2022-12-01,-0.584177,-0.509094,1.0,6.129686,5.545509000000001,5.620592
2023-01-01,-0.101602,-0.054286,1.0,5.54551,5.443908,5.491224
2023-02-01,-0.38331,-0.20157,1.0,5.443908,5.060598000000001,5.242338
2023-03-01,-0.928758,-0.705486,1.0,5.060597,4.131838999999999,4.355111
2023-04-01,-0.012855,0.029447,1.0,4.13184,4.118985,4.161287000000001
2023-05-01,-0.612776,-0.532107,1.0,4.118985,3.506209,3.5868780000000005
2023-06-01,-0.775165,-0.705589,1.0,3.506209,2.7310440000000002,2.8006200000000003
2023-07-01,0.2278,0.187748,1.0,2.731044,2.958844,2.918792
2023-08-01,0.22456,0.378551,1.0,2.958844,3.183404,3.337395
2023-09-01,-0.011861,0.023514999999999994,1.0,3.183404,3.171543,3.206919
2023-10-01,-0.423866,-0.342878,1.0,3.171542,2.7476760000000002,2.828664
2023-11-01,-0.196902,-0.19206,1.0,2.747677,2.550775,2.555617
2023-12-01,0.08038,0.12389,1.0,2.550774,2.631154,2.674664
2024-01-01,-0.110918,-0.262958,1.0,2.631154,2.520236,2.368196
2024-02-01,0.092726,0.067238,1.0,2.520236,2.612962,2.5874740000000003
2024-03-01,0.256836,0.18101,1.0,2.612963,2.869799,2.7939730000000003
2024-04-01,-0.05013,0.032265000000000016,1.0,2.869799,2.819669,2.902064
2024-05-01,-0.088293,-0.057579500000000006,0.7000000000000001,2.819668,2.731375,2.7620885
2024-06-01,-0.093309,-0.13627670000000003,0.7000000000000001,2.731375,2.638066,2.5950983
2024-07-01,-0.047014,-0.015164799999999992,0.7000000000000001,2.638067,2.591053,2.6229022
2024-08-01,-0.227987,-0.19208309999999998,0.7000000000000001,2.591053,2.363066,2.3989699
2024-09-01,-0.12614,-0.18162830000000002,0.7000000000000001,2.363066,2.236926,2.1814377
2024-10-01,0.234512,0.0856737,0.7000000000000001,2.236926,2.471438,2.3225997
2024-11-01,0.102528,0.14926040000000002,0.7000000000000001,2.471438,2.573966,2.6206984
2024-12-01,0.178337,0.11674350000000001,0.7000000000000001,2.573966,2.752303,2.6907095
2025-01-01,0.015772,0.036741899999999994,0.7000000000000001,2.752303,2.768075,2.7890449
2025-02-01,-0.049384,-0.03179450000000003,0.7000000000000001,2.768075,2.718691,2.7362805
2025-03-01,-0.32926,-0.2098819,0.7000000000000001,2.718691,2.389431,2.5088091
2025-04-01,-0.145249,-0.0639158,0.7000000000000001,2.389431,2.244182,2.3255152
2025-05-01,0.143291,0.010404200000000002,0.8,2.244182,2.387473,2.2545862
2025-06-01,0.125221,0.1196988,0.8,2.387473,2.5126939999999998,2.5071718
2025-07-01,0.11564,-0.004943599999999999,0.8,2.512694,2.628334,2.5077504000000004
2025-08-01,0.068891,0.1070606,0.8,2.628333,2.697224,2.7353936
2025-09-01,0.085482,0.032584,0.8,2.697225,2.782707,2.729809
2026-01-01,-0.085919,-0.11098880000000001,0.8,2.721922,2.636003,2.6109332000000003
2026-02-01,0.048224,-0.03153120000000001,0.8,2.636003,2.684227,2.6044718000000002
2026-03-01,0.696776,0.6442388,0.8,2.684227,3.3810029999999998,3.3284658
2026-04-01,0.440535,0.3262046,0.8,3.381002,3.821537,3.7072066
2026-05-01,0.284983,0.3144116,0.8,3.821537,4.10652,4.1359486
2026-06-01,-0.441372,-0.275544,0.8,4.10652,3.665148,3.8309759999999997
2026-07-01,-0.156578,-0.017818400000000012,0.8,3.665148,3.5085699999999997,3.6473296
