month,actual,predicted,baseline,alpha,prior_yoy,actual_yoy,predicted_yoy
2020-01-01,0.258773,0.041318,0.209985,10.000000,1.766877,2.025650,1.808195
2020-02-01,-0.208871,-0.059393,0.258773,10.000000,2.025650,1.816779,1.966257
2020-03-01,-0.613604,-0.317010,-0.208871,3.000000,1.816779,1.203175,1.499769
2020-04-01,-0.900402,-0.533413,-0.613604,0.300000,1.203175,0.302774,0.669762
2020-05-01,0.027995,-0.118575,-0.900402,0.300000,0.302774,0.330769,0.184198
2020-06-01,0.328940,0.230007,0.027995,0.300000,0.330769,0.659709,0.560776
2020-07-01,0.204466,0.312892,0.328940,0.300000,0.659709,0.864175,0.972600
2020-08-01,0.212422,0.211373,0.204466,0.300000,0.864175,1.076597,1.075547
2020-09-01,0.160208,0.099401,0.212422,3.000000,1.076597,1.236805,1.175998
2020-10-01,-0.083176,0.228079,0.160208,3.000000,1.236805,1.153629,1.464884
2020-11-01,0.012101,0.188985,-0.083176,1.000000,1.153629,1.165730,1.342613
2020-12-01,0.126875,0.319853,0.012101,3.000000,1.165730,1.292605,1.485583
2021-01-01,0.237706,0.293399,0.126875,10.000000,1.292605,1.530310,1.586003
2021-02-01,0.353597,0.348340,0.237706,10.000000,1.530310,1.883907,1.878650
2021-03-01,0.850262,0.250886,0.353597,10.000000,1.883907,2.734169,2.134793
2021-04-01,1.186521,0.138470,0.850262,3.000000,2.734169,3.920690,2.872639
2021-05-01,0.516408,0.266676,1.186521,3.000000,3.920690,4.437098,4.187366
2021-06-01,0.286578,0.194518,0.516408,3.000000,4.437098,4.723675,4.631616
2021-07-01,0.120228,0.199043,0.286578,3.000000,4.723675,4.843903,4.922718
2021-08-01,0.113192,0.069994,0.120228,0.300000,4.843903,4.957096,4.913897
2021-09-01,0.156217,0.081048,0.113192,3.000000,4.957096,5.113313,5.038144
2021-10-01,0.580478,0.206206,0.156217,3.000000,5.113313,5.693791,5.319519
2021-11-01,0.623878,0.034668,0.580478,3.000000,5.693791,6.317668,5.728458
2021-12-01,0.210047,0.003389,0.623878,3.000000,6.317668,6.527715,6.321057
2022-01-01,0.175500,0.153721,0.210047,3.000000,6.527715,6.703216,6.681436
2022-02-01,0.283991,0.265270,0.175500,3.000000,6.703216,6.987207,6.968486
2022-03-01,0.509991,0.557544,0.283991,0.300000,6.987207,7.497198,7.544751
2022-04-01,-0.278740,0.390287,0.509991,3.000000,7.497198,7.218458,7.887485
2022-05-01,0.128115,0.270944,-0.278740,10.000000,7.218458,7.346574,7.489402
2022-06-01,0.380582,0.004774,0.128115,10.000000,7.346574,7.727156,7.351348
2022-07-01,-0.569463,-0.273320,0.380582,10.000000,7.727156,7.157693,7.453836
2022-08-01,-0.243823,-0.196428,-0.569463,10.000000,7.157693,6.913870,6.961264
2022-09-01,-0.015600,-0.274666,-0.243823,10.000000,6.913870,6.898269,6.639204
2022-10-01,-0.269094,0.033851,-0.015600,10.000000,6.898269,6.629176,6.932120
2022-11-01,-0.499489,-0.065441,-0.269094,10.000000,6.629176,6.129686,6.563735
2022-12-01,-0.584177,-0.101992,-0.499489,10.000000,6.129686,5.545510,6.027695
2023-01-01,-0.101602,-0.006607,-0.584177,10.000000,5.545510,5.443908,5.538902
2023-02-01,-0.383310,-0.050168,-0.101602,10.000000,5.443908,5.060597,5.393740
2023-03-01,-0.928758,-0.047507,-0.383310,10.000000,5.060597,4.131840,5.013090
2023-04-01,-0.012855,-0.071488,-0.928758,10.000000,4.131840,4.118985,4.060352
2023-05-01,-0.612776,-0.227344,-0.012855,10.000000,4.118985,3.506209,3.891641
2023-06-01,-0.775165,-0.063081,-0.612776,10.000000,3.506209,2.731044,3.443128
2023-07-01,0.227800,-0.018349,-0.775165,10.000000,2.731044,2.958844,2.712695
2023-08-01,0.224560,0.105898,0.227800,10.000000,2.958844,3.183404,3.064742
2023-09-01,-0.011861,0.124599,0.224560,10.000000,3.183404,3.171542,3.308003
2023-10-01,-0.423866,0.007682,-0.011861,10.000000,3.171542,2.747677,3.179224
2023-11-01,-0.196902,-0.102156,-0.423866,10.000000,2.747677,2.550774,2.645521
2023-12-01,0.080380,-0.190845,-0.196902,10.000000,2.550774,2.631154,2.359930
2024-01-01,-0.110918,-0.090226,0.080380,10.000000,2.631154,2.520236,2.540928
2024-02-01,0.092726,0.022342,-0.110918,10.000000,2.520236,2.612963,2.542578
2024-03-01,0.256836,0.058694,0.092726,10.000000,2.612963,2.869799,2.671657
2024-04-01,-0.050130,0.193580,0.256836,10.000000,2.869799,2.819668,3.063378
2024-05-01,-0.088293,-0.024627,-0.050130,10.000000,2.819668,2.731375,2.795041
2024-06-01,-0.093309,-0.025214,-0.088293,10.000000,2.731375,2.638067,2.706161
2024-07-01,-0.047014,-0.108220,-0.093309,30.000000,2.638067,2.591053,2.529847
2024-08-01,-0.227987,-0.203127,-0.047014,10.000000,2.591053,2.363066,2.387926
2024-09-01,-0.126140,-0.130802,-0.227987,10.000000,2.363066,2.236926,2.232264
2024-10-01,0.234512,0.026285,-0.126140,10.000000,2.236926,2.471438,2.263211
2024-11-01,0.102528,0.041347,0.234512,10.000000,2.471438,2.573966,2.512785
