series_code,frequency,status,raw_points,final_markers,first_marker,last_marker_or_error
BAA10Y,M,OK,81,9,2018-04-30,2024-11-29
DRALACBS,,ERROR,0,0,,DRALACBS frequency Q is not part of this base pipeline
EFFR,D,OK,1692,9,2018-03-23,2024-12-19
EMRATIO,M,OK,81,7,2018-04-01,2024-03-01
KOSPI_CLOSE,W,OK,251,6,2020-03-20,2024-10-25
KOSPI_PBR,D,OK,1665,6,2018-03-27,2024-12-09
KOSPI_PER,D,OK,1665,8,2018-03-26,2024-12-20
KOSPI_TRADING_VALUE,D,OK,1550,7,2018-09-21,2024-12-27
KOSPI_WEEKLY_CLOSE,,ERROR,0,0,,No economic-chart rows for KOSPI_WEEKLY_CLOSE in buffer range
KR10Y,D,OK,1671,10,2018-03-26,2024-12-10
KR10Y3Y,,ERROR,0,0,,No economic-chart rows for KR10Y3Y in buffer range
KR3Y,D,OK,1671,6,2018-03-26,2024-12-10
KR_AA_YIELD,D,OK,1671,6,2018-03-26,2024-12-23
KR_BOP_BOND_FLOW,M,OK,81,11,2018-06-01,2024-03-01
KR_BOP_EQUITY_FLOW,M,OK,81,7,2018-10-01,2024-12-01
KR_CALL_RATE,D,OK,1671,11,2018-04-03,2024-10-02
KR_CORE_CPI,M,OK,81,4,2018-04-01,2024-10-01
KR_CORP_CREDIT_SPREAD,,ERROR,0,0,,No economic-chart rows for KR_CORP_CREDIT_SPREAD in buffer range
KR_CORP_DELINQ,M,OK,81,5,2018-05-01,2024-11-01
KR_CPI,M,OK,81,4,2018-09-01,2024-10-01
KR_DEFAULT_COMPANIES,M,OK,81,7,2018-06-01,2024-10-01
KR_EXPORT_DAILY_AVG,,ERROR,0,0,,No economic-chart rows for KR_EXPORT_DAILY_AVG in buffer range
KR_FOREIGN_NET_BUY,D,OK,1550,11,2018-09-21,2024-12-20
KR_IMPORT_PRICE,M,OK,81,7,2018-07-01,2024-09-01
KR_KOFR,D,OK,763,7,2021-12-22,2024-12-18
KR_LF,M,OK,81,2,2022-12-01,2023-04-01
KR_M2,M,OK,81,4,2018-04-01,2024-12-01
KR_POLICY_RATE,M,OK,81,2,2018-04-01,2023-01-01
KR_PPI,M,OK,81,5,2018-07-01,2024-09-01
KR_SME_FUNDING_OUTLOOK,M,OK,60,6,2020-05-01,2024-12-01
KR_SME_HEADLINE_OUTLOOK,M,OK,60,5,2020-05-01,2024-12-01
KR_SME_UTILIZATION_SA,M,OK,60,3,2020-05-01,2024-09-01
NFCI,W,OK,354,6,2018-03-30,2024-12-27
NFCI_CREDIT,W,OK,354,6,2018-03-30,2024-11-22
NFCI_RISK,W,OK,354,8,2018-03-23,2024-08-02
OEF_ADJUSTED_CLOSE,W,OK,251,7,2020-03-20,2024-12-13
REDBOOK,W,OK,353,12,2018-03-27,2024-12-10
RRP,D,OK,1687,7,2018-03-28,2024-12-20
SPY_ADJUSTED_CLOSE,M,OK,81,6,2018-09-28,2024-11-29
TGA,W,OK,353,6,2018-05-02,2024-06-12
TLT_ADJUSTED_CLOSE,M,OK,81,4,2018-10-31,2024-09-30
US10Y,D,OK,1692,8,2018-04-02,2024-12-27
US10Y2Y,,ERROR,0,0,,No economic-chart rows for US10Y2Y in buffer range
US10Y_REAL,D,OK,1692,10,2018-04-02,2024-09-17
US2Y,D,OK,1692,9,2018-04-02,2024-12-18
US3M,D,OK,1692,8,2018-04-04,2024-07-22
USDKRW,D,OK,1749,7,2018-04-03,2024-12-27
US_COMMERCIAL_CH11,M,OK,81,4,2018-06-01,2024-06-01
US_CORE_CPI,M,OK,81,6,2018-04-01,2024-12-01
US_CORE_PCE,M,OK,81,8,2018-05-01,2024-12-01
US_CORE_PPI,M,OK,81,6,2018-07-01,2024-10-01
US_CPI,M,OK,81,5,2019-01-01,2024-09-01
US_FED_ASSETS,W,OK,353,7,2018-03-28,2024-12-25
US_IOER,D,OK,1224,4,2018-03-23,2021-07-04
US_IORB,D,OK,1249,3,2021-07-29,2024-12-19
US_NFIB_BORROWING_DIFFICULTY,M,OK,81,5,2018-06-01,2024-12-01
US_NFIB_OPTIMISM,M,OK,81,7,2018-05-01,2024-12-01
US_NFIB_SALES_EXPECTATION,M,OK,81,7,2018-05-01,2023-11-01
US_PCE,M,OK,81,11,2018-04-01,2024-12-01
US_POLICY_RATE_MID,,ERROR,0,0,,No economic-chart rows for US_POLICY_RATE_MID in buffer range
US_PPI,M,OK,81,5,2018-06-01,2024-12-01
US_RETAIL_SALES,M,OK,81,8,2018-04-01,2024-08-01
US_SBDFI,M,OK,81,7,2018-04-01,2024-12-01
US_SBDI_31_180,M,OK,81,7,2018-04-01,2024-09-01
US_SOFR,D,OK,1684,10,2018-04-04,2024-12-19
WEI,W,OK,354,9,2018-04-07,2024-05-04
WTI,D,OK,1703,10,2018-04-06,2024-12-13
